293;269;30;3,358;2,1043;4,8722;23,68;22,004;13,99;2194,1;2509,7;2406,6;215,7;209,1;187,8;425,33;574,11;509,88;138,62;123,02;141,44;27,911;11,012;11,012
151;247;28;6,9124;2,3379;4,1594;36,812;32,035;16,605;2373,8;2205,6;2041,1;179,5;170;189,2;374,38;503,05;479,89;117,01;120,98;145,76;24,267;9,5742;9,5742
220;349;18;6,0399;1,5868;4,4811;20,071;18,035;12,346;915;1067,4;714,9;87,45;95,15;110,2;156,38;238,27;139,33;55,176;49,611;67,564;9,9703;3,9336;3,9336
260;128;18;4,3567;2,7678;4,5415;29,167;24,539;21,329;762,1;1510,4;1409,8;118,15;108,05;102,3;138,27;309,77;287,11;67,166;68,617;77,417;9,9703;3,9336;3,9336
27;30;20;23,532;22,579;17,225;23,4;44,168;45,202;2157,8;2096,4;1862,1;131,9;136,2;509,6;360,14;630,96;666,13;163,37;202,6;352,68;12,426;4,9023;4,9023
100;28;20;21,818;24,173;13,422;24,019;43,38;45,268;2093;2185;1860,7;126,25;129,65;542,7;345,75;725,85;633,59;186,67;180,95;423,17;12,426;4,9023;4,9023
178;66;20;19,515;22,067;12,718;23,681;34,258;40,974;1971,3;2040,8;1569,4;136,5;142,6;684,9;340,94;737,68;724,96;196,74;244,94;549,62;12,426;4,9023;4,9023
37;205;20;21,965;21,655;10,291;23,077;43,361;40,769;2115,8;2032,8;1680;131,95;138,55;483,8;345,79;587,3;496,59;145,08;147,85;292,22;12,426;4,9023;4,9023
