345,346,20,1,0.33795,0.31945,0.17271,5.5816,8.4187,6.3025,716.4,639.2,556.8,57.6,61.4,62,130.47,134.41,91.95,33.347,28.91,30.935
355,440,18,0.96429,0.29979,0.24757,0.24588,6.3818,10.079,7.7028,458.4,369.8,396.8,44.9,54.1,57.9,90.56,79.854,88.829,24.207,24.622,26.956
409,501,16,0.92308,0.6714,0.23355,0.31189,6.9938,10.951,8.9218,352.8,183.8,292.4,33.6,46.6,46.1,62.781,36.714,53.531,17.483,18.469,17.643
408,406,16,1,1.8798,1.2355,0.65523,8.9079,11.348,9.2954,517.2,344.8,242,55.4,61.4,68,108.5,89.453,60.043,35.404,31.961,28.495
419,74,16,0.92308,1.3425,1.9968,1.4755,10.35,10.847,10.613,368,510,450,77.7,68.7,109.3,90.726,140.95,107.81,48.113,40.917,51.854
317,461,14,1,0.91579,0.65731,0.71985,8.5764,11.375,10.788,189.8,264.2,313.2,31.9,41.1,48.1,30.229,53.923,55.708,13.593,17.124,17.842
248,453,14,1,1.1794,0.90838,1.4745,10.333,12.58,10.749,372.4,356.6,401.8,52.2,63,60.3,70.517,79.218,74.253,31.863,29.054,26.855
459,563,12,0.95,0.57351,0.32085,1.0075,11.115,14.849,13.623,400,325.8,443.2,35.6,43,48.9,80.094,75.263,88.68,20.31,20.762,23.091
472,519,12,0.9,3.0989,2.2082,1.5556,12.946,14.756,13.678,448.6,378.4,368.4,50.3,64.7,65.7,90.273,79.956,61.346,31.396,25.328,27.85
449,481,12,1,2.4938,2.4426,2.4578,11.44,12.624,11.503,306.8,353.6,350,34.3,34.5,56.5,50.656,70.683,60.567,19.078,17.988,25.432
